Order_ID,Customer_ID,Order_Date,Product_ID,Quantity,Discount,Payment_Method,Year,Month,Month_Name,Quarter,Product_Name,Category,Sub_Category,Unit_Price,Unit_Cost,Revenue,Cost,Profit,Profit_Margin,Customer_Name,Gender,Age,City,State
50001,1183,2024-06-01,2017,1,0.05,UPI,2024,6,June,2,Backpack,Fashion,Bags,1800,900,1710.0,900,810.0,47.368421052631575,Neha Kumar,Male,22,Delhi,Delhi
50002,1113,2025-02-04,2016,3,0.0,UPI,2025,2,February,1,Casual Sneakers,Fashion,Footwear,2600,1400,7800.0,4200,3600.0,46.15384615384615,Karan Patel,Female,31,Chennai,Tamil Nadu
50003,1183,2024-10-05,2018,1,0.25,Net Banking,2024,10,October,4,Jacket,Fashion,Clothing,3500,1800,2625.0,1800,825.0,31.428571428571427,Neha Kumar,Male,22,Delhi,Delhi
50004,1481,2024-02-26,2002,3,0.2,Net Banking,2024,2,February,1,Laptop Air 13,Electronics,Laptops,65000,48000,156000.0,144000,12000.0,7.6923076923076925,Karan Singh,Male,28,Hyderabad,Telangana
50005,1146,2024-07-04,2014,2,0.15,Cash on Delivery,2024,7,July,3,Air Fryer,Home,Kitchen,6000,3500,10200.0,7000,3200.0,31.372549019607842,Arjun Sharma,Male,41,Delhi,Delhi
50006,1319,2025-02-01,2017,2,0.05,Cash on Delivery,2025,2,February,1,Backpack,Fashion,Bags,1800,900,3420.0,1800,1620.0,47.368421052631575,Neha Verma,Male,23,Jaipur,Rajasthan
50007,1116,2025-08-27,2003,3,0.0,Net Banking,2025,8,August,3,Wireless Mouse,Electronics,Accessories,900,500,2700.0,1500,1200.0,44.44444444444444,Karan Gupta,Male,29,Chennai,Tamil Nadu
50008,1113,2024-06-06,2002,3,0.25,Net Banking,2024,6,June,2,Laptop Air 13,Electronics,Laptops,65000,48000,146250.0,144000,2250.0,1.5384615384615385,Karan Patel,Female,31,Chennai,Tamil Nadu
50009,1251,2025-11-23,2008,1,0.0,UPI,2025,11,November,4,Smart Watch,Electronics,Wearables,5000,2500,5000.0,2500,2500.0,50.0,Raj Sharma,Male,37,Jaipur,Rajasthan
50010,1476,2024-12-24,2002,1,0.15,UPI,2024,12,December,4,Laptop Air 13,Electronics,Laptops,65000,48000,55250.0,48000,7250.0,13.122171945701359,Amit Verma,Female,35,Jaipur,Rajasthan
50011,1251,2025-03-15,2002,4,0.05,UPI,2025,3,March,1,Laptop Air 13,Electronics,Laptops,65000,48000,247000.0,192000,55000.0,22.267206477732792,Raj Sharma,Male,37,Jaipur,Rajasthan
50012,1303,2025-08-11,2009,1,0.05,Net Banking,2025,8,August,3,Office Chair,Furniture,Chairs,8500,5500,8075.0,5500,2575.0,31.88854489164087,Raj Verma,Male,26,Delhi,Delhi
50013,1459,2025-04-10,2020,2,0.15,Cash on Delivery,2025,4,April,2,Dumbbell Set,Sports,Fitness,3500,1800,5950.0,3600,2350.0,39.49579831932773,Neha Kumar,Male,39,Mumbai,Maharashtra
50014,1313,2025-10-24,2006,3,0.0,Credit Card,2025,10,October,4,Smartphone Lite,Electronics,Mobiles,16000,11000,48000.0,33000,15000.0,31.25,Pooja Kumar,Male,21,Lucknow,Uttar Pradesh
50015,1118,2025-03-21,2012,2,0.05,Credit Card,2025,3,March,1,Bedside Lamp,Home,Lighting,1400,700,2660.0,1400,1260.0,47.368421052631575,Raj Singh,Female,29,Pune,Maharashtra
50016,1301,2025-05-02,2009,3,0.2,Cash on Delivery,2025,5,May,2,Office Chair,Furniture,Chairs,8500,5500,20400.0,16500,3900.0,19.11764705882353,Pooja Das,Female,19,Chennai,Tamil Nadu
50017,1161,2025-06-13,2007,3,0.1,Cash on Delivery,2025,6,June,2,Bluetooth Headphones,Electronics,Audio,3500,1800,9450.0,5400,4050.0,42.857142857142854,Sneha Verma,Female,53,Kolkata,West Bengal
50018,1401,2024-03-13,2012,3,0.15,Cash on Delivery,2024,3,March,1,Bedside Lamp,Home,Lighting,1400,700,3570.0,2100,1470.0,41.17647058823529,Riya Gupta,Female,19,Chennai,Tamil Nadu
50019,1198,2025-12-01,2005,3,0.15,UPI,2025,12,December,4,Smartphone X,Electronics,Mobiles,32000,22000,81600.0,66000,15600.0,19.11764705882353,Amit Sharma,Female,54,Hyderabad,Telangana
50020,1260,2024-01-17,2016,2,0.0,Debit Card,2024,1,January,1,Casual Sneakers,Fashion,Footwear,2600,1400,5200.0,2800,2400.0,46.15384615384615,Ananya Sharma,Male,40,Mumbai,Maharashtra
50021,1148,2025-06-14,2005,2,0.0,Net Banking,2025,6,June,2,Smartphone X,Electronics,Mobiles,32000,22000,64000.0,44000,20000.0,31.25,Karan Patel,Male,54,Lucknow,Uttar Pradesh
