Customer_ID,Customer_Name,Gender,Age,City,State,Signup_Date
1001,Vikas Gupta,Male,41,Pune,Maharashtra,2024-02-29
1002,Raj Kumar,Male,29,Hyderabad,Telangana,2024-12-08
1003,Neha Das,Male,35,Jaipur,Rajasthan,2024-07-14
1004,Vikas Gupta,Male,32,Chennai,Tamil Nadu,2024-10-03
1005,Rahul Singh,Female,33,Pune,Maharashtra,2024-05-31
1006,Raj Verma,Female,44,Ahmedabad,Gujarat,2024-03-03
1007,Ananya Patel,Male,25,Bengaluru,Karnataka,2024-06-22
1008,Vikas Singh,Male,42,Pune,Maharashtra,2023-06-09
1009,Ananya Kumar,Male,34,Jaipur,Rajasthan,2023-05-29
1010,Arjun Verma,Male,46,Chennai,Tamil Nadu,2023-08-18
1011,Neha Singh,Female,25,Hyderabad,Telangana,2024-12-12
1012,Pooja Mehta,Male,32,Jaipur,Rajasthan,2024-07-15
1013,Karan Patel,Female,44,Jaipur,Rajasthan,2023-03-08
1014,Riya Verma,Female,24,Bengaluru,Karnataka,2024-01-16
1015,Vikas Verma,Male,20,Kolkata,West Bengal,2023-02-27
1016,Rahul Patel,Female,46,Chennai,Tamil Nadu,2023-09-16
1017,Neha Patel,Female,41,Mumbai,Maharashtra,2023-12-08
1018,Arjun Das,Female,20,Jaipur,Rajasthan,2023-05-10
1019,Vikas Mehta,Female,37,Kolkata,West Bengal,2024-12-27
1020,Karan Sharma,Male,32,Mumbai,Maharashtra,2023-06-21
1021,Pooja Mehta,Male,42,Chennai,Tamil Nadu,2024-09-05
1022,Pooja Patel,Female,47,Delhi,Delhi,2023-07-28
1023,Riya Mehta,Male,31,Ahmedabad,Gujarat,2023-12-20
1024,Rahul Singh,Male,24,Kolkata,West Bengal,2024-04-15
1025,Amit Mehta,Male,34,Lucknow,Uttar Pradesh,2023-04-26
1026,Ananya Kumar,Male,37,Delhi,Delhi,2023-09-21
1027,Pooja Sharma,Male,53,Ahmedabad,Gujarat,2024-10-23
1028,Ananya Kumar,Female,26,Bengaluru,Karnataka,2024-03-17
1029,Priya Mehta,Male,55,Pune,Maharashtra,2024-07-01
1030,Sneha Sharma,Male,39,Hyderabad,Telangana,2024-03-28
1031,Vikas Sharma,Male,19,Lucknow,Uttar Pradesh,2024-04-21
1032,Rahul Sharma,Male,41,Bengaluru,Karnataka,2023-10-14
1033,Amit Patel,Female,25,Chennai,Tamil Nadu,2023-10-30
1034,Karan Gupta,Female,28,Bengaluru,Karnataka,2023-11-07
1035,Riya Das,Female,30,Pune,Maharashtra,2023-07-27
1036,Raj Gupta,Female,34,Chennai,Tamil Nadu,2024-09-09
1037,Neha Kumar,Male,25,Lucknow,Uttar Pradesh,2024-03-21
1038,Arjun Kumar,Female,38,Pune,Maharashtra,2024-10-31
1039,Neha Verma,Male,35,Mumbai,Maharashtra,2024-09-24
1040,Priya Verma,Male,47,Hyderabad,Telangana,2023-02-24
1041,Riya Patel,Male,35,Lucknow,Uttar Pradesh,2023-01-12
1042,Ananya Gupta,Male,48,Mumbai,Maharashtra,2024-10-18
1043,Arjun Singh,Male,55,Ahmedabad,Gujarat,2024-02-04
1044,Pooja Sharma,Female,49,Lucknow,Uttar Pradesh,2024-10-09
1045,Riya Mehta,Female,28,Ahmedabad,Gujarat,2024-05-29
1046,Riya Patel,Female,42,Chennai,Tamil Nadu,2024-10-17
1047,Amit Verma,Female,50,Mumbai,Maharashtra,2024-06-25
1048,Pooja Verma,Male,55,Hyderabad,Telangana,2023-08-25
1049,Ananya Das,Female,58,Pune,Maharashtra,2023-10-06
1050,Vikas Mehta,Male,25,Jaipur,Rajasthan,2023-12-14
1051,Raj Singh,Female,28,Bengaluru,Karnataka,2024-09-18
1052,Ananya Gupta,Male,39,Delhi,Delhi,2023-04-14
1053,Vikas Mehta,Male,41,Hyderabad,Telangana,2024-09-21
1054,Ananya Kumar,Female,58,Mumbai,Maharashtra,2024-05-31
1055,Vikas Das,Male,34,Jaipur,Rajasthan,2023-09-05
1056,Raj Gupta,Male,29,Hyderabad,Telangana,2023-12-30
1057,Karan Gupta,Female,49,Mumbai,Maharashtra,2023-11-17
1058,Pooja Verma,Male,32,Kolkata,West Bengal,2024-09-24
1059,Karan Das,Female,33,Kolkata,West Bengal,2023-10-13
1060,Priya Patel,Female,39,Ahmedabad,Gujarat,2023-05-29
1061,Rahul Verma,Female,45,Hyderabad,Telangana,2023-03-25
1062,Karan Verma,Male,37,Kolkata,West Bengal,2024-02-10
1063,Riya Singh,Male,50,Mumbai,Maharashtra,2024-03-31
1064,Neha Kumar,Male,27,Ahmedabad,Gujarat,2023-06-10
1065,Amit Mehta,Female,57,Mumbai,Maharashtra,2024-04-04
1066,Vikas Kumar,Male,49,Ahmedabad,Gujarat,2024-07-03
1067,Raj Patel,Female,50,Hyderabad,Telangana,2024-05-14
1068,Priya Gupta,Female,19,Jaipur,Rajasthan,2024-05-23
1069,Riya Das,Male,50,Pune,Maharashtra,2024-10-15
1070,Arjun Kumar,Female,50,Lucknow,Uttar Pradesh,2024-04-25
1071,Rahul Verma,Male,58,Jaipur,Rajasthan,2024-10-24
1072,Pooja Das,Male,30,Chennai,Tamil Nadu,2023-04-24
1073,Sneha Gupta,Male,47,Mumbai,Maharashtra,2024-07-31
1074,Ananya Das,Male,50,Chennai,Tamil Nadu,2023-12-27
1075,Ananya Patel,Male,30,Jaipur,Rajasthan,2023-12-07
1076,Sneha Sharma,Female,43,Ahmedabad,Gujarat,2024-03-24
1077,Ananya Verma,Female,39,Lucknow,Uttar Pradesh,2023-06-29
1078,Pooja Das,Female,56,Lucknow,Uttar Pradesh,2024-12-02
1079,Pooja Verma,Male,19,Delhi,Delhi,2024-02-11
1080,Amit Verma,Male,55,Lucknow,Uttar Pradesh,2024-10-27
1081,Ananya Patel,Male,56,Pune,Maharashtra,2023-07-15
1082,Vikas Verma,Female,43,Lucknow,Uttar Pradesh,2024-04-10
1083,Rahul Gupta,Male,32,Jaipur,Rajasthan,2023-11-07
1084,Raj Kumar,Female,51,Delhi,Delhi,2023-09-19
1085,Raj Patel,Female,59,Jaipur,Rajasthan,2024-02-23
1086,Neha Patel,Male,57,Jaipur,Rajasthan,2024-02-10
1087,Ananya Das,Male,28,Bengaluru,Karnataka,2023-05-23
1088,Riya Patel,Female,20,Delhi,Delhi,2023-12-08
1089,Priya Sharma,Male,23,Jaipur,Rajasthan,2023-11-12
1090,Riya Das,Female,26,Bengaluru,Karnataka,2023-04-11
1091,Karan Mehta,Male,23,Bengaluru,Karnataka,2023-09-01
1092,Vikas Sharma,Male,26,Delhi,Delhi,2024-05-04
1093,Pooja Das,Female,56,Chennai,Tamil Nadu,2023-01-12
1094,Amit Singh,Male,48,Ahmedabad,Gujarat,2023-08-27
1095,Karan Mehta,Female,49,Pune,Maharashtra,2024-07-14
1096,Sneha Kumar,Male,58,Ahmedabad,Gujarat,2023-02-11
1097,Priya Kumar,Female,29,Lucknow,Uttar Pradesh,2024-11-08
